Date,Price,Open,High,Low
2021-03-01,1500.92,1493.55,1505.61,1487.99
2021-03-02,1503.36,1503.91,1509.65,1500.8
2021-03-03,1543.4,1510.27,1543.48,1510.07
2021-03-04,1534.11,1535.76,1540.66,1527.88
2021-03-05,1544.11,1531.05,1553.92,1529.83
2021-03-08,1543.76,1559.17,1562.56,1540.64
2021-03-09,1550.59,1553,1554.96,1537.23
2021-03-10,1573.05,1553.27,1573.55,1550.45
2021-03-11,1575.13,1582.69,1584.61,1569.87
2021-03-12,1568.19,1579.71,1584.4,1562.9
2021-03-15,1565.73,1573.11,1575.96,1562.69
2021-03-16,1564.03,1569.01,1573.13,1562.35
2021-03-17,1566.76,1562.92,1571.53,1559.22
2021-03-18,1568.82,1579.72,1583.3,1567.67
2021-03-19,1563.96,1562.3,1566.67,1554.96
2021-03-22,1566.36,1563.56,1571.74,1555.38
2021-03-23,1564.25,1572.7,1574.14,1562.03
2021-03-24,1570.83,1557.5,1570.84,1555.72
2021-03-25,1571.04,1576.27,1580.17,1571.04
2021-03-26,1574.86,1577.47,1580.74,1566.89
2021-03-29,1583.89,1582.73,1592.47,1580.9
2021-03-30,1589.53,1589.68,1593.52,1585.06
2021-03-31,1587.21,1592.26,1593.93,1585.58
2021-04-01,1595.12,1594.01,1600.6,1590.33
2021-04-02,1596.27,1603.24,1606.41,1595.31
2021-04-05,1579.66,1599.33,1601.24,1575.56
2021-04-06,1579.66,1599.33,1601.24,1575.56
2021-04-07,1556.56,1566.11,1570.69,1555.57
2021-04-08,1558.83,1554.64,1564.05,1552.18
2021-04-09,1566.34,1562.2,1572.13,1561.76
2021-04-12,1541.12,1561.53,1562.07,1539.24
2021-04-13,1541.12,1561.53,1562.07,1539.24
2021-04-14,1541.12,1561.53,1562.07,1539.24
2021-04-15,1541.12,1561.53,1562.07,1539.24
2021-04-16,1548.96,1543.59,1550.26,1529.29
2021-04-19,1574.91,1555.01,1574.97,1552.91
2021-04-20,1580.04,1574.38,1582.49,1570.53
2021-04-21,1580.01,1576.19,1584.57,1575.56
2021-04-22,1568.21,1585.91,1587.95,1564.83
2021-04-23,1553.59,1563.46,1564.62,1550.62
2021-04-26,1559.53,1552.05,1561.52,1544.1
2021-04-27,1559.23,1564.06,1570.58,1553.03
2021-04-28,1576.79,1565.7,1578.62,1562.84
2021-04-29,1590.46,1584.55,1592.9,1583.98
2021-04-30,1583.13,1591.12,1593.23,1580.74
2021-05-03,1583.13,1591.12,1593.23,1580.74
2021-05-04,1583.13,1591.12,1593.23,1580.74
2021-05-05,1549.22,1581.86,1583.27,1547.35
2021-05-06,1571.91,1553.27,1575.37,1551.42
2021-05-07,1585.03,1582.25,1589.21,1577.19
2021-05-10,1588.15,1596.61,1596.8,1576.79
2021-05-11,1578.93,1579.25,1590.54,1566.91
2021-05-12,1571.85,1576.66,1578.34,1557.94
2021-05-13,1548.13,1554.1,1561.8,1501.02
2021-05-14,1549.48,1555.72,1558.86,1532.29
2021-05-17,1549.16,1542.23,1554.08,1529.69
2021-05-18,1566.8,1559.93,1570.37,1558.85
2021-05-19,1562.24,1561.97,1570.05,1557.83
2021-05-20,1554.54,1565.39,1568.72,1554.54
2021-05-21,1552.44,1559.82,1560.51,1546.55
2021-05-24,1551.85,1555.23,1559.6,1547.14
2021-05-25,1568.58,1562.89,1572.03,1560.13
2021-05-26,1568.58,1562.89,1572.03,1560.13
2021-05-27,1582.96,1570.5,1587.54,1568.89
2021-05-28,1581.98,1590.44,1595.45,1579.53
2021-05-31,1593.59,1582.56,1594.65,1578.09
2021-06-01,1618.59,1602.65,1620.53,1598.66
2021-06-02,1617.55,1624.83,1627.67,1612.94
2021-06-03,1617.55,1624.83,1627.67,1612.94
2021-06-04,1611.53,1613.72,1622.89,1611.34
2021-06-07,1612.59,1618.74,1625.56,1611.78
2021-06-08,1612.88,1614.85,1618.7,1605.31
2021-06-09,1626.27,1618.06,1628.42,1617.83
2021-06-10,1625.27,1631.92,1636.22,1623.57
2021-06-11,1636.56,1632.04,1636.92,1628.14
2021-06-14,1633.06,1641.68,1642.8,1629.33
2021-06-15,1622.31,1634.45,1636.1,1618.6
2021-06-16,1624.79,1622.78,1631.23,1619.23
2021-06-17,1617.65,1621.38,1631.69,1615.62
2021-06-18,1612.98,1619.88,1622.43,1604.44
2021-06-21,1601.13,1596.96,1602.66,1590.55
2021-06-22,1599.23,1610.85,1613.66,1598.56
2021-06-23,1592.08,1605.31,1606.39,1590.63
2021-06-24,1585.72,1587.73,1589.33,1569.93
2021-06-25,1582.67,1592.02,1596.16,1577.63
2021-06-28,1579.17,1572.18,1581.34,1565.31
2021-06-29,1591.43,1580.89,1596.08,1579.44
2021-06-30,1587.79,1597.26,1600.57,1584.47
2021-07-01,1593.75,1591.04,1596.36,1584.69
2021-07-02,1578.49,1591.37,1596.05,1574.92
2021-07-05,1579.28,1580.69,1582.46,1573.67
2021-07-06,1591.43,1585.96,1594.15,1585.34
2021-07-07,1576.6,1585.04,1587.7,1574.14
2021-07-08,1543.67,1563.96,1567.33,1540.56
2021-07-09,1552.09,1537.97,1554.6,1535.69
2021-07-12,1549.84,1558.63,1561.72,1544.71
2021-07-13,1570.99,1557.26,1571.82,1555.88
2021-07-14,1569.7,1570.12,1573.04,1561
2021-07-15,1572.01,1575.05,1580.43,1570.96
2021-07-16,1574.37,1569.23,1575.66,1567.17
2021-07-19,1556.01,1557.81,1563.88,1551.79
2021-07-20,1538.86,1551.26,1552.38,1530.62
2021-07-21,1540.88,1543.17,1545.39,1532.34
2021-07-22,1552.36,1549.85,1554.65,1546.26
2021-07-23,1545.1,1550.86,1553.25,1540.35
2021-07-26,1545.1,1550.86,1553.25,1540.35
2021-07-27,1537.63,1547.4,1551.43,1531.81
2021-07-28,1537.63,1547.4,1551.43,1531.81
2021-07-29,1537.78,1541.8,1545.08,1533.94
2021-07-30,1521.92,1536.91,1539.03,1516.77
2021-08-02,1525.11,1523.42,1525.73,1513.71
2021-08-03,1540.51,1525.24,1540.52,1524.37
2021-08-04,1545.86,1542.11,1548.63,1533.36
2021-08-05,1527.66,1544.83,1547.38,1526.91
2021-08-06,1521.72,1530.43,1537.27,1514.67
2021-08-09,1540.19,1528.16,1543.71,1525.29
2021-08-10,1542.62,1544.31,1551.61,1539.4
2021-08-11,1532.71,1549.41,1550.74,1531.58
2021-08-12,1532.71,1549.41,1550.74,1531.58
2021-08-13,1528.32,1530.68,1541.08,1525.51
2021-08-16,1531.24,1527.08,1532.94,1512.28
2021-08-17,1544.22,1536.94,1545.95,1533.32
2021-08-18,1551.87,1546.71,1557.08,1545.33
2021-08-19,1544.28,1546.7,1553.9,1543.75
2021-08-20,1553.18,1549.92,1554.45,1545.92
2021-08-23,1582.07,1566.1,1583.13,1565.93
2021-08-24,1586.98,1590.12,1598.39,1585.46
2021-08-25,1600.49,1591.29,1601.09,1588.37
2021-08-26,1601.91,1601.99,1603.99,1595.69
2021-08-27,1611.2,1602.16,1615.22,1600
2021-08-30,1633.77,1621.68,1634.92,1621.42
2021-08-31,1638.75,1632.65,1643.76,1628.12
2021-09-01,1634.48,1643.01,1646.07,1628.16
2021-09-02,1647.75,1634.25,1652.03,1633.12
2021-09-03,1650.33,1654,1657.79,1644.12
2021-09-06,1648.37,1652.33,1655.04,1644.56
2021-09-07,1636.45,1653.67,1658.08,1635.11
2021-09-08,1640.45,1632.18,1641.29,1627.17
2021-09-09,1629.12,1637.65,1646.07,1626.95
2021-09-10,1635.35,1633.1,1639.65,1620.58
2021-09-13,1633.76,1634.43,1642.63,1627.29
2021-09-14,1623.84,1639.9,1640.4,1621.96
2021-09-15,1628.04,1624.17,1630.05,1620.84
2021-09-16,1631.7,1633.28,1636.01,1628.57
2021-09-17,1625.65,1632.18,1635.04,1617.31
2021-09-20,1603.06,1617.44,1620.72,1601.16
2021-09-21,1614.86,1604.64,1618.19,1591.81
2021-09-22,1619.59,1614.74,1623.86,1611.76
2021-09-23,1631.15,1632.92,1637.65,1623
2021-09-24,1631.15,1632.92,1637.65,1623
2021-09-27,1620.02,1637.3,1639.97,1616.6
2021-09-28,1616.5,1623.88,1626.55,1614.31
2021-09-29,1616.98,1605.19,1622.62,1604.46
2021-09-30,1605.68,1616.99,1621.15,1601.79
2021-10-01,1605.17,1600.59,1609.48,1593.32
2021-10-04,1614.48,1611.69,1619.62,1610.96
2021-10-05,1624.24,1612.5,1626.44,1611.42
2021-10-06,1619.48,1626.65,1631.81,1617.24
2021-10-07,1633.72,1627.15,1637.82,1624.59
2021-10-08,1639.41,1641.92,1644.16,1635.77
2021-10-11,1633.44,1644.38,1646.5,1629.95
2021-10-12,1643.64,1644.56,1646.85,1637.49
2021-10-13,1643.64,1644.56,1646.85,1637.49
2021-10-14,1640.97,1647.56,1648.62,1637.42
2021-10-15,1638.34,1646.35,1651.41,1635.14
2021-10-18,1643.92,1641.97,1648,1639.92
2021-10-19,1630.39,1648.48,1649.66,1627.12
2021-10-20,1637.55,1633.88,1639.41,1632.62
2021-10-21,1643.42,1644.39,1646.5,1639.16
2021-10-22,1643.42,1644.39,1646.5,1639.16
2021-10-25,1634.2,1645,1645.91,1631.29
2021-10-26,1635.97,1635.61,1639.93,1627.68
2021-10-27,1627.61,1632.44,1635.68,1626.56
2021-10-28,1624.31,1626.06,1632.3,1622.56
2021-10-29,1623.43,1626.27,1629.25,1619.14
2021-11-01,1613.78,1627.59,1632.73,1611.39
2021-11-02,1617.89,1616.74,1621.69,1608.64
2021-11-03,1611.92,1620.52,1623.08,1607.72
2021-11-04,1626.27,1613.45,1627.57,1607.73
2021-11-05,1626.22,1627.45,1628.6,1619.62
2021-11-08,1626.13,1631.34,1635.62,1621.35
